,Name,Country,Language
472,M. Berg,SWEDEN,SWEDISH
473,I. Piatti,ARGENTINA,SPANISH
474,V. Birsa,SLOVENIA,SLOVENIAN
475,Pedro León,SPAIN,SPANISH
476,K. Boateng,GHANA,ENGLISH
477,Marcano,SPAIN,SPANISH
478,H. Moreno,MEXICO,SPANISH
479,S. Romero,ARGENTINA,SPANISH
480,A. Candreva,ITALY,ITALIAN
481,D. Criscito,ITALY,ITALIAN
482,D. Wass,DENMARK,DANISH
483,Coke,SPAIN,SPANISH
484,A. Guardado,MEXICO,SPANISH
485,J. dos Santos,MEXICO,SPANISH
486,E. Lamela,ARGENTINA,SPANISH
487,R. Bertrand,ENGLAND,ENGLISH
488,Renato Augusto,BRAZIL,PORTUGUESE
489,Jardel,BRAZIL,PORTUGUESE
490,V. Denisov,UZBEKISTAN,UZBEK (LATIN)
491,D. Basta,SERBIA,SERBIAN (LATIN)
492,G. Cabral,ARGENTINA,SPANISH
493,G. Paletta,ITALY,ITALIAN
494,T. Walcott,ENGLAND,ENGLISH
495,L. Fabiański,POLAND,POLISH
496,B. Foster,ENGLAND,ENGLISH
497,V. Ibišević,BOSNIA HERZEGOVINA,SERBIAN (LATIN)
498,K. El Ahmadi,MOROCCO,ARABIC
499,S. Kalou,IVORY COAST,FRENCH
500,Manuel Fernandes,PORTUGAL,PORTUGUESE
501,A. Granqvist,SWEDEN,SWEDISH
502,L. Podolski,GERMANY,GERMAN
503,Javi Fuego,SPAIN,SPANISH
504,F. Belluschi,ARGENTINA,SPANISH
505,A. Mirante,ITALY,ITALIAN
506,V. Enyeama,NIGERIA,YORUBA
507,F. Marchetti,ITALY,ITALIAN
508,Kaká,BRAZIL,PORTUGUESE
509,J. Milner,ENGLAND,ENGLISH
510,A. Hutchinson,CANADA,MOHAWK
511,M. Topal,TURKEY,TURKISH
512,J. Mathieu,FRANCE,OCCITAN
513,C. Kameni,CAMEROON,FRENCH
514,P. Jagielka,ENGLAND,ENGLISH
515,P. Evra,FRANCE,OCCITAN
516,J. Defoe,ENGLAND,ENGLISH
517,Júlio César,BRAZIL,PORTUGUESE
518,M. Carrick,ENGLAND,ENGLISH
519,M. Almirón,PARAGUAY,SPANISH
520,Oyarzabal,SPAIN,SPANISH
521,Soares,BRAZIL,PORTUGUESE
522,M. Campaña,URUGUAY,SPANISH
523,F. Andone,ROMANIA,ROMANIAN
524,M. Acuña,ARGENTINA,SPANISH
525,V. Lindelöf,SWEDEN,SWEDISH
526,Y. Cardinale,FRANCE,OCCITAN
527,C. Lenglet,FRANCE,OCCITAN
528,M. Dahoud,GERMANY,GERMAN
529,D. Zappacosta,ITALY,ITALIAN
530,N. Maksimović,SERBIA,SERBIAN (LATIN)
531,E. Rigoni,ARGENTINA,SPANISH
532,I. Marcone,ARGENTINA,SPANISH
533,L. López,ARGENTINA,SPANISH
534,A. Correa,ARGENTINA,SPANISH
535,K. Coman,FRANCE,OCCITAN
536,S. Kritsyuk,RUSSIA,YAKUT
537,W. Cyprien,FRANCE,OCCITAN
538,Diego Llorente,SPAIN,SPANISH
539,Anderson Talisca,BRAZIL,PORTUGUESE
540,L. Dendoncker,BELGIUM,FRENCH
541,M. Meyer,GERMANY,GERMAN
542,Gayà,SPAIN,SPANISH
543,S. Boufal,MOROCCO,ARABIC
544,M. Benassi,ITALY,ITALIAN
545,N. Tagliafico,ARGENTINA,SPANISH
546,E. Hysaj,ALBANIA,ALBANIAN
547,João Cancelo,PORTUGAL,PORTUGUESE
548,A. Romagnoli,ITALY,ITALIAN
549,Óliver Torres,SPAIN,SPANISH
550,H. Çalhanoğlu,TURKEY,TURKISH
551,Gerard Moreno,SPAIN,SPANISH
552,B. Traoré,BURKINA FASO,FRENCH
553,L. Vietto,ARGENTINA,SPANISH
554,L. Paredes,ARGENTINA,SPANISH
555,M. Arnold,GERMANY,GERMAN
556,S. Gnabry,GERMANY,GERMAN
557,L. Shaw,ENGLAND,ENGLISH
558,E. Višća,BOSNIA HERZEGOVINA,SERBIAN (LATIN)
559,Bernard,BRAZIL,PORTUGUESE
560,D. Baselli,ITALY,ITALIAN
561,A. Milik,POLAND,POLISH
562,Bernat,SPAIN,SPANISH
563,W. Orban,GERMANY,GERMAN
564,Rubén Pardo,SPAIN,SPANISH
565,K. Zouma,FRANCE,OCCITAN
566,C. Kramer,GERMANY,GERMAN
567,S. Vrsaljko,CROATIA,CROATIAN
568,Zé Luís,CAPE VERDE,PORTUGUESE
569,J. Stones,ENGLAND,ENGLISH
570,J. Vestergaard,DENMARK,DANISH
571,Fernando,BRAZIL,PORTUGUESE
572,M. Depay,NETHERLANDS,FRISIAN
573,F. Fernández,ARGENTINA,SPANISH
574,S. Sané,SENEGAL,WOLOF
575,N. Sansone,ITALY,ITALIAN
576,P. Ntep,FRANCE,OCCITAN
577,F. Ghoulam,ALGERIA,TAMAZIGHT(LATIN)
578,J. Murillo,COLOMBIA,SPANISH
579,Gabriel Paulista,BRAZIL,PORTUGUESE
580,V. Darida,CZECH REPUBLIC,CZECH
581,Cédric,PORTUGAL,PORTUGUESE
582,L. Tonelli,ITALY,ITALIAN
583,R. Saponara,ITALY,ITALIAN
584,D. Sidibé,FRANCE,OCCITAN
585,Y. Konoplyanka,UKRAINE,UKRAINIAN
586,L. Digne,FRANCE,OCCITAN
587,Paco Alcácer,SPAIN,SPANISH
588,Vicente Gómez,SPAIN,SPANISH
589,E. Çolak,TURKEY,TURKISH
590,N. Jørgensen,DENMARK,DANISH
591,Oriol Romeu,SPAIN,SPANISH
592,Nolito,SPAIN,SPANISH
593,B. Martins Indi,NETHERLANDS,FRISIAN
594,M. Gabbiadini,ITALY,ITALIAN
595,P. Herrmann,GERMANY,GERMAN
596,F. Lejeune,FRANCE,OCCITAN
597,J. Bruma,NETHERLANDS,FRISIAN
598,P. Jones,ENGLAND,ENGLISH
599,Adrián,SPAIN,SPANISH
600,Keko,SPAIN,SPANISH
601,H. Pérez,PARAGUAY,SPANISH
602,Jaume Costa,SPAIN,SPANISH
603,A. Areola,FRANCE,OCCITAN
604,Escudero,SPAIN,SPANISH
